"targetx1","targety1","targetx2","targety2","d","day","x1","y1","x2","y2","departuretime","arrivaltime","transitdistance","transittime","bustime","walktime","waittime","td"
118.337868340537,24.4402363014275,118.420601906599,24.4790310637162,9430.28025389123,"days",118.3378512,24.4403319,118.4206065,24.4790281,"7:02am","10:02am",15.8,180.6,81.1,9.6,89.9,0.0191510745320086
118.404946089786,24.4861380661182,118.427590917218,24.4467812162593,4945.63296217221,"days",118.4049783,24.4861134,118.4276048,24.4467711,"7:02am","9:20am",10.1,137.9,42.2,25.7,70,0.0278831852373113
118.315456600862,24.4532375560417,118.310928442803,24.406228482432,5253.11245916179,"days",118.3160665,24.4534213,118.3114274,24.4056847,"7:23am","9:12am",10.6,109.1,42.2,29.2,37.7,0.0207686397061083
118.42200473466,24.4741987417042,118.39000061564,24.442453184347,4796.3883113055,"days",118.4221052,24.4742912,118.3898039,24.4422561,"7:28am","10:18am",9.9,169.9,50.3,9.3,110.3,0.0354224864570559
118.436521328059,24.4204063913503,118.460218608862,24.4385191074378,3135.93320248544,"days",118.43652,24.4203952,118.460058,24.4386623,"7:33am","8:10am",5,36.1,22.6,13.5,0,0.0115117247941979
118.406933226021,24.43728537293,118.40329838883,24.4884611292286,5708.75225278954,"days",118.406869,24.4372171,118.4031903,24.4885438,"7:02am","9:33am",13.1,151.4,58.8,32.6,60,0.0265206814546943
118.400051274993,24.4705507194666,118.311820172732,24.4371227079907,9684.24921791665,"days",118.4000954,24.4705699,118.3116752,24.4372213,"7:32am","8:47am",11,74.5,51.4,22.7,0.400000000000002,0.00769290404693106
118.308717467404,24.4370449991311,118.40005733764,24.4896627264879,10952.8853858873,"days",118.3094721,24.4377094,118.3998018,24.489233,"7:02am","11:36am",15.1,273.8,73,20.8,180,0.0249979791035511
118.417236617319,24.4389539200358,118.253748451905,24.4386912975299,16568.8405999307,"days",118.4169921,24.4387397,118.2864996,24.4150958,"7:09am","9:12am",17.8,152.1,81.8,22.4,47.9,0.0091798819043884
118.427319521633,24.5040694260091,118.424052347241,24.4322720980094,7999.29461701392,"days",118.4273275,24.5041762,118.4240909,24.432319,"7:02am","10:39am",13.6,217.3,61.3,21,135,0.0271648952068622
